title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Kierownik Salonu,Biała Podlaska,14 lutego 2018,415247175,Pełny etat,Umowa o pracę,  ,274
Kasjer - sprzedawca poszukiwany:) sklep NETTO 3000 zł brutto,Wrocław,15 lutego 2018,271516627,Pełny etat,Umowa o pracę,2 600  -  3 000 zł/mies.,10630
Kasjer/Sprzedawca Lublin ul. Abramowicka,Lublin,15 lutego 2018,402152931,Pełny etat,Umowa zlecenie,  ,1016
Sprzedawca Kórnik,Kórnik,15 lutego 2018,384160577,Pełny etat,Umowa o pracę,  ,534
Kasjer - tygodniówki!,Inowrocław,15 lutego 2018,415549115,Pełny etat,Umowa zlecenie,  ,11
Praca dla sprzedawcy w galerii handlowej w Lublinie,Lublin,15 lutego 2018,267942721,Niepełny etat,Umowa zlecenie,  ,33421
Kasjer-Sprzedawca Biedronka Sulejówek 3250zł brutto,Sulejówek,15 lutego 2018,316810858,Pełny etat,Umowa o pracę,  ,6507
Zatrudnimy Panią do sklepu Wałbrzych Rynek,Wałbrzych,13 lutego 2018,414853687,Pełny etat,Umowa zlecenie,  ,602
Stacja Paliw Warszawa Wał Miedzeszyński 219,Warszawa,15 lutego 2018,257919697,Pełny etat,Umowa o pracę,2 500  -  3 500 zł/mies.,1948
Sprzedawca / Doradca Klienta RTV/AGD - Pułtusk,Pułtusk,15 lutego 2018,415545287,Pełny etat,Umowa o pracę,  ,5
"Sprzedawca - Netto Warszawa, ul. Wisełki",Warszawa,15 lutego 2018,346881496,Pełny etat,Umowa o pracę,  ,1084
Sprzedawca w salonie CCC Kraśnik,Kraśnik,15 lutego 2018,327687778,Niepełny etat,Umowa o pracę,  ,10445
Doradca Klienta (Lady) - Tesco Piastów,Piastów,15 lutego 2018,415550177,Pełny etat,Umowa o pracę,  ,3
Zatrudnimy sprzedawcę wina,Poznań,15 lutego 2018,374600765,Pełny etat,Umowa o pracę,  ,1287
Doradca Klienta (Bistro) - Tesco Piastów,Piastów,15 lutego 2018,415549033,Pełny etat,Umowa o pracę,  ,4
Biedronka Zastepca Kierownika Sklepu Góra Kalwaria,Góra Kalwaria,15 lutego 2018,307919384,Pełny etat,Umowa o pracę,  ,4829
