title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Kierownik magazynu wysyłkowego e-commerce | lectus24,Krapkowice,14 lutego 2018,415165273,Pełny etat,Umowa o pracę,4 000  -  6 000 zł/mies.,140
Praca magazynier - operator wózka widłowego - maszyn - KRZESZYCE,Krzeszyce,15 lutego 2018,355628078,Pełny etat,Umowa o pracę,  ,2117
Pracownica/k Obsługi Zwrotów Odzieży,Zielona Góra,15 lutego 2018,372576101,Pełny etat,Umowa o pracę,  ,6136
Polkowice praca - ok. 2000 zł netto,Polkowice,15 lutego 2018,395347263,Pełny etat,Umowa zlecenie,  ,212
Pakowacz / Magazynier w sklepie internetowym - zatrudnię,Kobyłka,15 lutego 2018,415519193,Pełny etat,Umowa zlecenie,  ,64
Pracownik Magazynu,Wrocław,15 lutego 2018,415519785,Pełny etat,Umowa o pracę,  ,87
Magazynier - mężczyzna/kobieta,Niepruszewo,15 lutego 2018,333944720,Pełny etat,Umowa o pracę,  ,1973
Targówek PANOWIE Operator wózków/magazynier,Warszawa,15 lutego 2018,415523677,Pełny etat,Umowa zlecenie,14  -  18 zł/godz.,66
Magazynier / Pracownik fizyczny w Centrum Ogrodniczym,Kobyłka,15 lutego 2018,415517211,Pełny etat,Umowa zlecenie,  ,38
Magazynier - umowa o pracę (Luboń k/Poznania),Komorniki,15 lutego 2018,410480507,Pełny etat,Umowa o pracę,  ,487
Pracownik Magazynu Logistycznego,Warszawa,15 lutego 2018,241355821,Dodatkowa / sezonowa,Umowa o pracę,  ,8458
Kontroler dostaw,Inowrocław,15 lutego 2018,413393183,Pełny etat,Umowa o pracę,2 500  -  2 700 zł/mies.,1571
Magazynier,Warszawa,15 lutego 2018,414755691,Pełny etat,Umowa zlecenie,  ,45
Kierownik Zmiany,Mszczonów,15 lutego 2018,410119777,Pełny etat,Umowa o pracę,  ,400
Operator Wózka Widłowego,Warszawa,15 lutego 2018,374264445,Pełny etat,Umowa zlecenie,  ,24
Praca w hurtowni farmaceutycznej,Katowice,15 lutego 2018,415533457,Niepełny etat,Umowa o pracę,  ,85
Sortowanie paczek w firmie kurierskiej,Bydgoszcz,15 lutego 2018,251468239,Pełny etat,Umowa zlecenie,  ,19241
Magazynier do sklepu internetowego,Świdnik,15 lutego 2018,410195907,Pełny etat,Umowa o pracę,  ,942
Kierowca / Magazynier,Szczecin,15 lutego 2018,347836500,Pełny etat,Umowa o pracę,5 650  -  6 362 zł/mies.,6133
"Doradca klienta, merchandiser, OBI Puławska",Warszawa,15 lutego 2018,415517109,Pełny etat,Umowa o pracę,  ,22
Magazynier-kierowca,Łęczyca,15 lutego 2018,407225249,Praktyka / staż,Inny,  ,1124
Magazynier - Jakubów,Jakubów,15 lutego 2018,415517049,Pełny etat,Umowa o pracę,  ,13
Magazynier (uprawnienia mile widziane),Warszawa,15 lutego 2018,391164991,Pełny etat,Umowa zlecenie,  ,178
Pracownik magazynu,Błonie,15 lutego 2018,414377603,Pełny etat,Umowa zlecenie,  ,15
"Handlowiec, przedstawiciel handlowy",Osielsko,15 lutego 2018,410016825,Pełny etat,Umowa o pracę,  ,314
Magazynier Kwidzyn,Kwidzyn,15 lutego 2018,396349645,Pełny etat,Umowa o pracę,  ,9138
Kierownik Magazynu,Suwałki,15 lutego 2018,343795536,Pełny etat,Umowa o pracę,  ,3994
Magazynier,Suwałki,15 lutego 2018,252654885,Pełny etat,Umowa o pracę,  ,18291
Operator wózka widłowego,Łódź,15 lutego 2018,397708221,Pełny etat,Umowa o pracę,  ,15
Pracownik hali w markecie budowlanym Szczecin,Szczecin,15 lutego 2018,415541575,Pełny etat,Umowa zlecenie,  ,21
Magazynier Grudziądz,Grudziądz,15 lutego 2018,367927032,Pełny etat,Umowa o pracę,  ,23999
Operator wózka widłowego Dębica,Dębica,15 lutego 2018,150729813,Pełny etat,Umowa o pracę,  ,12
Kierownik magazynu,Warszawa,15 lutego 2018,415546729,Pełny etat,Umowa o pracę,  ,23
Magazynier - operator wózka widłowego,Tychy,15 lutego 2018,405167007,Pełny etat,Umowa o pracę,  ,1560
Magazynier - Mińsk Mazowiecki,Mińsk Mazowiecki,15 lutego 2018,397508841,Pełny etat,Umowa o pracę,  ,4225
Pracownik fizyczny,Stargard,15 lutego 2018,386041843,Pełny etat,Umowa o pracę,  ,1080
"Zatrudnię magazyniera, ładowacza, wózkowego",Piotrków Trybunalski,15 lutego 2018,400848197,Pełny etat,Umowa o pracę,  ,11
Magazynier-operator wózka,Rzgów,14 lutego 2018,350259220,Pełny etat,Umowa o pracę,16  -  17 zł/godz.,5585
NAGEL POLSKA szuka Pracowników magazynowych w Kopytowie k/Warszawy,Kopytów,15 lutego 2018,395740785,Pełny etat,Umowa o pracę,  ,2865
Magazynier/Pruszków,Pruszków,15 lutego 2018,415485281,Pełny etat,Umowa zlecenie,3 024  -  3 500 zł/mies.,56
Prcownik magazynowy,Warszawa,15 lutego 2018,415543795,Pełny etat,Umowa o pracę,4 500  -  5 500 zł/mies.,60
Magazynier,Radom,15 lutego 2018,414434489,Pełny etat,Umowa o pracę,  ,911
Zatrudnimy Panie do kontroli towaru na magazynie.,Mysłowice,15 lutego 2018,367234334,Pełny etat,Umowa zlecenie,  ,5715
Obsługa porządkowa magazynu,Warszawa,15 lutego 2018,410493343,Pełny etat,Umowa zlecenie,  ,351
Magazynier-pakowacz,Legnica,15 lutego 2018,314236798,Pełny etat,Umowa o pracę,  ,25579
Praca na magazynie - od zaraz.,Wrocław,15 lutego 2018,400870679,Pełny etat,Umowa zlecenie,  ,155
Pracownik magazynu /płatny staż/,Radom,15 lutego 2018,361594736,Pełny etat,Umowa zlecenie,  ,8820
Brygadzista - Duchnice,Duchnice,15 lutego 2018,405236413,Pełny etat,Umowa o pracę,3 800  -  4 000 zł/mies.,546
Praca na produkcji - Łódź,Łódź,15 lutego 2018,339118202,Pełny etat,Umowa zlecenie,  ,21
Magazynier w Dziale Zaopatrzenia,Warszawa,15 lutego 2018,405668779,Pełny etat,Umowa o pracę,  ,1613
Magazynier - Duchnice,Duchnice,15 lutego 2018,405194043,Pełny etat,Umowa o pracę,3 250  -  3 750 zł/mies.,657
Pracownik magazynowy,Piaseczno,15 lutego 2018,415487061,Pełny etat,Umowa o pracę,  ,69
Magazynier! Stała praca przy kompletacji zamówień !,Chorzów,15 lutego 2018,410438693,Pełny etat,Umowa o pracę,2 500  -  2 900 zł/mies.,113
Magazynier,Łomianki,15 lutego 2018,335411742,Pełny etat,Umowa o pracę,  ,1933
Praca w magazynie rusztowań traktorzysta + sztaplarz,Szczecin,15 lutego 2018,415492473,Pełny etat,Umowa zlecenie,  ,74
Magazynier - kierowca,Modlniczka,15 lutego 2018,381751531,Pełny etat,Umowa o pracę,  ,1801
Tesco Szczecinek - Pracownik Przyjęcia Towaru,Poznań,15 lutego 2018,415489897,Niepełny etat,Umowa o pracę,  ,36
"Operator wózka widłowego, bez doświadczenia",Bytom,15 lutego 2018,410498479,Pełny etat,Umowa o pracę,  ,1060
MAGAZYNIER z uprawnieniami na wózki widłowe,Sady,15 lutego 2018,339964040,Pełny etat,Umowa o pracę,3 150  -  4 230 zł/mies.,7506
Magazynier z uprawnieniami na wózki widłowe,Komorniki,15 lutego 2018,394176307,Pełny etat,Umowa o pracę,  ,1007
Magazynier,Strzelin,15 lutego 2018,410410083,Pełny etat,Umowa o pracę,  ,1904
Operator wózka widłowego,Wrocław,15 lutego 2018,414740719,Pełny etat,Umowa o pracę,  ,145
Magazynier - lekka praca ( z kawą) 14 zł/godz-oferta dorywcza,Poznań,15 lutego 2018,415511469,Niepełny etat,Umowa o pracę,  ,99
"Kierowca wózka widłowego - 19,11/h",Wrocław,15 lutego 2018,415511491,Pełny etat,Umowa o pracę,  ,40
Zatrudnię pracownika na skup surowców wtórnych. PRAWO JAZDY !!!,Warszawa,15 lutego 2018,374112039,Pełny etat,Umowa o pracę,2 500  -  3 000 zł/mies.,1411
Magazynier,Katowice,15 lutego 2018,382067443,Pełny etat,Umowa o pracę,  ,3631
Pracownik obsługi naziemnej lotniska (rampa),Warszawa,15 lutego 2018,395407441,Pełny etat,Umowa o pracę,  ,6489
Sortowanie Paczek - Warszawa,Warszawa,14 lutego 2018,340346228,Pełny etat,Umowa zlecenie,  ,99
Pracownik do skanowania przesyłek - praca od zaraz!,Wrocław,15 lutego 2018,406805699,Pełny etat,Umowa o pracę,  ,1353
Fakturzysta-Kasjer- Magazynier Hurtownia Eurocash Cieszyn,Cieszyn,15 lutego 2018,415455431,Pełny etat,Umowa o pracę,  ,38
Firma Kurierska w Kaliszu Zatrudni Magazyniera,Kalisz,15 lutego 2018,230405223,Niepełny etat,Umowa o pracę,16  -  19 zł/godz.,5585
Zatrudnię magazynirów,Cieszyn,15 lutego 2018,415468113,Pełny etat,Umowa o pracę,  ,44
Zatrudnie pracownika na punkt skupu surowców wtórnych,Wrocław,15 lutego 2018,415455045,Pełny etat,Umowa o pracę,  ,103
Lider zmiany,Pniewy,15 lutego 2018,360213682,Pełny etat,Umowa o pracę,  ,817
OPERATOR WÓZKA WIDŁOWEGO - bez doświadczenia - 2856zł/mc,Poznań,15 lutego 2018,409640881,Pełny etat,Umowa o pracę,  ,606
Pracownik obsługi zamówień internetowych,Pniewy,15 lutego 2018,360216004,Pełny etat,Umowa o pracę,  ,914
"Magazynier z uprawnieniami na wózek, Gliwice od zaraz (umowa o pracę)",Gliwice,15 lutego 2018,415459817,Pełny etat,Umowa o pracę,  ,79
Pracownik Inwentaryzacji Gdańsk,Gdańsk,15 lutego 2018,400934893,Dodatkowa / sezonowa,Umowa zlecenie,  ,1547
