title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Kasjer/sprzedawca McDonald's,Jelenia Góra,11 lutego 2018,403150765,Niepełny etat,Umowa o pracę,  ,181
PRACA - PIZZERMAN/KUCHARZ Festa in Tavola w Skarżysku-Kamiennej,Skarżysko-Kamienna,15 lutego 2018,350250264,Pełny etat,Umowa o pracę,  ,405
Zatrudnię Kucharza,Rumia,13 lutego 2018,413403011,Pełny etat,Umowa o pracę,  ,417
McDonald's PKP,Poznań,12 lutego 2018,255129971,Pełny etat,Umowa o pracę,  ,5994
Zatrudnię Szefa kuchni,Krzyżanowice Dolne,13 lutego 2018,379378275,Pełny etat,Umowa o pracę,  ,1510
Kelner/Kelnerka,Bydgoszcz,15 lutego 2018,415350029,Niepełny etat,Umowa zlecenie,13  -  15 zł/godz.,10
Kelnerka z doświadczeniem,Wrocław,15 lutego 2018,407990287,Niepełny etat,Inny,  ,11
"Poszukujemy osób na stanowisko KUCHARZ, POMOC KUCHENNA",Poznań,15 lutego 2018,377455943,Pełny etat,Umowa zlecenie,  ,1249
Szukamy Kelnera/kelnerki,Toruń,15 lutego 2018,410433547,Pełny etat,Umowa zlecenie,  ,2002
Kelner/Kelnerka z doswiadczeniem,Bydgoszcz,15 lutego 2018,415340927,Pełny etat,Umowa o pracę,  ,8
Pomoc kuchenna,Oświęcim,15 lutego 2018,337219446,Pełny etat,Umowa o pracę,  ,24
Praca Piekarz.,Bielsko-Biała,15 lutego 2018,410463417,Pełny etat,Umowa o pracę,  ,407
"KFC Morena Gdańsk - zatrudni pracowników, również tylko na weekendy",Gdańsk,13 lutego 2018,317368104,Pełny etat,Inny,13  -  15 zł/godz.,6046
Kierownik lokalu,Wrocław,15 lutego 2018,248807559,Pełny etat,Umowa o pracę,  ,5537
Zatrudnimy Kucharzy do Benvenuti in Italia w Galerii VIVO,Piła,15 lutego 2018,405121233,Pełny etat,Umowa o pracę,  ,352
Kelner/kelnerka,Kielce,15 lutego 2018,415541541,Pełny etat,Umowa zlecenie,  ,17
"Praca Kucharz Pszczyna Restauracja ""Bazar u Koziołka""",Pszczyna,15 lutego 2018,400633883,Pełny etat,Umowa o pracę,  ,9
Pizza Hut Express w Gorzowie- rozwiń skrzydła,Gorzów Wielkopolski,14 lutego 2018,354789760,Niepełny etat,Umowa zlecenie,  ,9872
Kelner/Kelnerka,Wrocław,13 lutego 2018,372175737,Pełny etat,Umowa o pracę,  ,1941
Kucharz/Pracownik obsługi North Fish KASKADA,Szczecin,13 lutego 2018,232407035,Pełny etat,Umowa o pracę,  ,134
"Kelnerka/Kelner centrum, elastyczne godziny pracy",Warszawa,15 lutego 2018,319581134,Niepełny etat,Umowa zlecenie,  ,7770
"SPRZĄTACZKA w bistro BYTOM (czystość sali, zmywanie naczyć)",Bytom,15 lutego 2018,414844575,Pełny etat,Umowa o pracę,2 100  -  2 400 zł/mies.,448
Pracownik kuchni w KFC Stargard Tesco DT,Stargard,14 lutego 2018,369927091,Pełny etat,Umowa o pracę,  ,4478
Cukiernik,Wrocław,15 lutego 2018,356814298,Pełny etat,Umowa o pracę,  ,1149
Kelner/barman,Wrocław,15 lutego 2018,415543351,Pełny etat,Inny,  ,19
Praca nad morzem **Dźwirzyno**,Poznań,12 lutego 2018,413403543,Pełny etat,Umowa o pracę,3 000  -  4 500 zł/mies.,1776
Kelnerka/bufetowa,Bełchatów,15 lutego 2018,369152056,Pełny etat,Umowa o pracę,  ,929
Praca w pizzerii Da Grasso. Umowa o pracę.,Oleśnica,15 lutego 2018,415541941,Pełny etat,Umowa o pracę,  ,5
Praca dla kucharza,Lublin,15 lutego 2018,317013570,Pełny etat,Umowa o pracę,  ,1504
Kelner,Gniezno,15 lutego 2018,415542823,Pełny etat,Umowa o pracę,  ,13
Pomoc kuchenna - młodszy kucharz,Lublin,31 stycznia 2018,405909795,Pełny etat,Inny,2 000  -  4 000 zł/mies.,2528
Pomoc kuchenna,Bytom,15 lutego 2018,414052247,Pełny etat,Umowa o pracę,15  -  16 zł/godz.,455
Praca dla kelnera / kelnerki,Wrocław,15 lutego 2018,406447823,Pełny etat,Umowa o pracę,2 000  -  2 400 zł/mies.,316
Zatrudnię kucharza /kucharkę,Chwaszczyno,15 lutego 2018,410478115,Pełny etat,Umowa o pracę,  ,517
KUCHARZ - Restauracja SPHINX - Galeria Leszno,Leszno,15 lutego 2018,415542771,Pełny etat,Umowa o pracę,  ,8
Kelner do restauracji włoskiej od zaraz,Warszawa,15 lutego 2018,404405191,Pełny etat,Umowa zlecenie,  ,932
VEGAB zatrudni pracowników obsługi klienta!,Kraków,14 lutego 2018,410533849,Pełny etat,Umowa zlecenie,1 600  -  2 000 zł/mies.,655
Kelner / kelnerka,Toszek,15 lutego 2018,415545461,Dodatkowa / sezonowa,Inny,  ,5
Kelner - Asian Station,Bielsko-Biała,15 lutego 2018,174823659,Pełny etat,Umowa o pracę,  ,202
Obsługa bufetu,Olsztyn,15 lutego 2018,415545903,Pełny etat,Umowa o pracę,  ,20
Praca dla studentów dziennych/zaocznych!! Zdobywaj doświadczenie w KFC,Leszno,11 lutego 2018,389087963,Niepełny etat,Inny,  ,2946
"McDonald's MOP MACHNACZ przy A1, kierunek Gdańsk",Machnacz,15 lutego 2018,381207707,Pełny etat,Umowa o pracę,  ,1759
