title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
HIT TRANSPORT SZ - poszukujemy Asystentki Księgowej,Szczecin,14 lutego 2018,414504689,Pełny etat,Umowa o pracę,  ,394
Księgowa - Biuro Rachunkowe,Gliwice,15 lutego 2018,349532684,Pełny etat,Umowa o pracę,  ,887
Opiekun Finansowy-Bydgoszcz,Bydgoszcz,15 lutego 2018,415519511,Pełny etat,Umowa o pracę,  ,17
Wykorzystaj szansę jaką daje rynek,Lubin,15 lutego 2018,415519275,Pełny etat,Inny,3 000  -  7 000 zł/mies.,27
Młodszy Specjalista ds. Obsługi Finansowej (K/M),Łódź,15 lutego 2018,348183080,Pełny etat,Umowa o pracę,  ,1381
Pracownik biurowy do windykacji z językiem niemieckim,Ostrów Wielkopolski,15 lutego 2018,410024105,Pełny etat,Umowa o pracę,  ,623
Doradca ds. kredytów Carrefour Opole,Opole,15 lutego 2018,383615109,Pełny etat,Umowa o pracę,  ,1064
Opiekun Finansowy-Grudziądz,Grudziądz,15 lutego 2018,415522577,Pełny etat,Umowa o pracę,  ,27
Przedstawiciel Bankowy ING Express - Kraków,Kraków,15 lutego 2018,383960657,Pełny etat,Umowa o pracę,  ,304
Specjalista ds. przeciwdziałania praniu pieniędzy / Analityk AML,Zielona Góra,15 lutego 2018,388377615,Pełny etat,Umowa o pracę,  ,2167
Księgowa / Księgowy,Poznań,15 lutego 2018,415529195,Pełny etat,Umowa o pracę,  ,19
Księgowa do biura rachunkowego,Łódź,15 lutego 2018,410394079,Pełny etat,Umowa o pracę,3 500  -  6 000 zł/mies.,980
Młodsza księgowa ds. zobowiązań,Łódź,15 lutego 2018,415531167,Pełny etat,Umowa o pracę,  ,24
Młodszego/Specjalisty ds. Raportowania Operacyjnego,Warszawa,15 lutego 2018,402341433,Pełny etat,Umowa o pracę,  ,525
Praca dla księgowej,Końskie,15 lutego 2018,415419977,Pełny etat,Umowa o pracę,  ,10
Doradca ds. Kredytów Gotówkowych.,Poznań,15 lutego 2018,347504628,Pełny etat,Umowa o pracę,2 000  -  8 000 zł/mies.,10
Ksiegowa/ksiegowy,Ustronie Morskie,15 lutego 2018,415505739,Pełny etat,Umowa o pracę,2 000  -  4 000 zł/mies.,12
Główna księgowa na etat,Białystok,15 lutego 2018,415509755,Pełny etat,Umowa o pracę,3 500  -  4 000 zł/mies.,21
Zatrutnę księgową WM s.c. Euro Sklep,Wierzbno,15 lutego 2018,414817945,Pełny etat,Umowa o pracę,4 300  -  5 000 zł/mies.,138
Księgowa - samodzielna lub młodsza,Łódź,15 lutego 2018,393251189,Pełny etat,Umowa o pracę,  ,2064
Księgowa / Księgowy - zatrudnimy w biurze rachunkowym,Ostrów Wielkopolski,15 lutego 2018,379390043,Pełny etat,Umowa o pracę,  ,2029
Doradca Biznesowy,Toruń,15 lutego 2018,391266663,Pełny etat,Samozatrudnienie,  ,2724
Staż płatny - Ubezpieczenia,Mysłowice,15 lutego 2018,392948919,Praktyka / staż,Inny,  ,3481
"SKOK Adamskiego w Toruniu, specjalista ds. księgowości",Toruń,15 lutego 2018,415175723,Pełny etat,Umowa o pracę,  ,30
Zatrudnię MŁODSZĄ KSIĘGOWĄ do Biura Rachunkowego,Gdańsk,15 lutego 2018,405278911,Pełny etat,Umowa o pracę,  ,1181
Referent ds księgowości,Krotoszyn,15 lutego 2018,388870693,Pełny etat,Umowa o pracę,2 000  -  2 500 zł/mies.,3117
"Doradca Klienta , Firmy , Agro - Placówka Radom",Radom,15 lutego 2018,403368161,Pełny etat,Umowa o pracę,2 500  -  12 000 zł/mies.,2229
"Nieruchomości, Ubezpieczenia, Kredyty. Szukasz pracy ? Nie zwlekaj !!!",Wrocław,15 lutego 2018,359498804,Niepełny etat,Umowa zlecenie,  ,553
Przedstawiciel Bankowy ING Express - Rybnik,Rybnik,15 lutego 2018,415512689,Pełny etat,Umowa o pracę,  ,33
Analityk finansowy,Rytel,15 lutego 2018,415514403,Pełny etat,Umowa o pracę,  ,16
Księgowa,Białystok,13 lutego 2018,402931805,Pełny etat,Umowa o pracę,  ,656
PKO Bank Polski Doradca Przedsiębiorstw,Drawsko Pomorskie,15 lutego 2018,410443323,Pełny etat,Umowa o pracę,  ,263
